StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA
1106,16,1,Asian,Some College,1.0715311921481600,14,0,High,0,1,1,1,2.0488500821388600
3112,15,0,Caucasian,Bachelor,16.405859212183500,16,1,Moderate,0,1,0,0,2.202232939648990
1122,15,1,African American,High School,9.74935670927948,7,1,Low,0,1,1,0,2.974406014911040
2448,18,1,African American,Bachelor,16.96835452861020,1,1,,0,1,0,0,3.408489770633040
2768,15,0,African American,Some College,18.58521950395780,26,0,Moderate,0,0,0,0,1.0433801278881200
3266,15,1,African American,Some College,2.089647906156690,6,0,Moderate,0,1,1,0,2.79540580881386
2954,18,1,Caucasian,,19.011840261518800,7,0,Moderate,0,0,0,0,2.894723042268490
1116,18,1,Caucasian,Bachelor,1.5598773281881800,15,0,,0,0,0,1,0.8782126167627770
3379,15,1,Caucasian,Some College,12.905555106471300,26,0,Moderate,0,0,1,1,0.7093533742145930
2407,16,0,Caucasian,Some College,17.700306490945200,16,1,Moderate,0,1,1,0,2.434950556939890
3233,16,0,Other,High School,3.976570605729600,6,0,Very High,0,0,0,0,2.635693450834730
1860,17,0,Caucasian,High School,1.9793724681741400,7,1,High,1,0,0,0,2.877853697636980
2513,15,0,Asian,High School,4.459000171155070,27,0,Low,0,0,0,0,0.0
2994,15,0,African American,Some College,5.712531993671540,25,1,High,1,0,0,0,0.9669488067667790
2728,15,1,Asian,Some College,15.108745450311600,15,0,Moderate,0,0,0,0,1.4887052948654000
1592,18,0,Asian,Some College,7.560498988688040,1,0,Low,0,0,0,0,2.4215468827715500
1841,17,0,Caucasian,,9.464263737687980,7,0,Low,0,1,0,0,2.3530546550379600
1765,15,1,Other,High School,7.270289147385330,9,0,,0,0,0,0,2.0038283786309400
2921,17,1,Caucasian,Some College,5.778740333151650,16,1,,0,0,0,1,1.357062701404830
2836,16,1,African American,Some College,7.339156636339910,27,0,Moderate,1,0,0,0,0.5086565007104290
1553,15,1,Asian,High School,18.673578122658700,22,0,Low,0,1,0,0,1.165394363121270
1088,15,0,Asian,High School,0.0080308805067974,27,0,Low,0,0,1,0,0.0
2522,15,0,Other,Some College,11.789416061864900,5,0,Very High,1,0,1,0,3.0562181766199700
3310,17,0,Caucasian,High School,12.475067687384700,21,0,Low,0,0,0,0,0.954787542101481
2455,15,1,Other,Bachelor,13.48439264894790,13,0,,1,1,0,0,2.1573918332612200
2048,15,0,Other,Some College,17.955916127840500,6,0,High,1,0,0,1,2.8463787534192200
2091,18,0,Caucasian,Some College,13.142376781225500,27,1,Very High,0,1,0,0,0.9636319307546240
1907,16,1,Caucasian,High School,4.276024213254660,18,1,Low,1,0,0,1,1.6977287802152000
1544,16,0,Caucasian,High School,19.71048266510440,13,1,Moderate,0,0,0,0,2.2408700600381600
2587,15,0,Caucasian,Some College,10.463162996352800,27,1,,1,0,0,0,0.654489820899693
3125,16,1,African American,Bachelor,5.30246522891479,27,0,,0,1,0,0,0.0
1495,15,1,African American,Bachelor,15.395446147711700,11,0,Low,1,0,0,0,2.162688107920220
1890,15,0,Caucasian,High School,0.2971224501500760,5,0,High,0,0,0,0,2.46060677377515
3165,16,0,African American,Bachelor,13.480027421397100,26,0,Moderate,1,0,0,0,0.8142853492286520
2399,18,1,Caucasian,High School,17.22125872959440,18,0,Moderate,0,1,0,0,1.879725986688090
3139,16,0,Caucasian,High School,11.105266452158800,27,0,High,0,1,0,0,0.9401842567137780
1072,16,1,African American,High School,17.255415549184500,28,0,High,0,0,1,1,0.7388682028052600
1064,15,0,Caucasian,High School,8.680977369563610,8,0,Moderate,0,1,0,0,2.3858282190764600
1837,17,0,Caucasian,High School,12.733858287158800,10,1,Moderate,0,0,0,0,2.550546233695910
2262,17,0,Caucasian,Some College,0.4426890205899410,5,0,Low,1,0,0,0,2.3254340649162400
1908,17,0,Asian,High School,2.1102729280240200,3,0,High,0,0,0,0,2.356856806870210
2666,16,0,Caucasian,Some College,17.07259857055910,24,1,,0,0,0,0,0.8026478062416250
2536,16,0,African American,,5.789957302394390,11,1,,1,0,0,0,1.899197563198890
1501,17,1,Asian,Some College,14.986307102848700,23,0,Low,0,0,0,0,1.009430321848960
1842,18,1,Caucasian,Bachelor,12.354538481235900,13,0,Moderate,0,0,1,0,1.7528862062165600
2379,16,1,African American,High School,8.112387805108850,22,0,Moderate,1,0,0,0,1.3027119835441400
2002,17,1,Caucasian,Bachelor,14.610293080526500,16,1,High,0,0,0,1,1.7660559772918900
2065,16,0,African American,High School,14.203465331803200,8,1,,1,0,1,0,2.4222306855709300
1206,15,0,Caucasian,Some College,3.4957343009031600,12,1,Very High,0,0,0,0,2.1923631978552900
1903,16,1,Other,Some College,7.394756217453780,28,1,Moderate,0,1,0,0,0.8334934182533650
1680,16,1,African American,High School,8.422378088681630,27,0,Moderate,1,1,1,0,0.6817036435058790
1558,16,1,Other,Bachelor,16.202801814909200,0,0,High,1,0,0,0,3.646516388949800
1378,15,0,African American,,9.297095616265410,1,0,Low,1,0,0,0,2.9965033042477000
1536,16,1,Other,Some College,7.335041528518800,27,0,Very High,1,1,0,0,0.6592029163279250
1818,17,0,African American,High School,6.296823108174710,6,0,High,1,0,0,0,3.0400254359810700
3246,16,0,African American,High School,10.981664451374500,16,0,,0,0,0,0,1.2782356660108700
1199,15,1,Asian,Some College,2.4192132447698500,21,0,Moderate,0,0,0,0,0.5710530980330260
1562,17,1,Caucasian,Some College,4.17303826316862,25,0,Very High,0,0,1,0,0.7763967059483810
2527,17,1,African American,High School,6.45957466727616,10,0,High,0,0,1,0,2.252575524405780
1591,15,0,Asian,Some College,5.650817273248870,23,0,Low,0,0,0,0,0.2783475708696340
1520,16,0,Caucasian,Bachelor,13.56245003073290,14,0,Moderate,0,0,0,0,2.0187768989965200
1309,18,0,African American,Bachelor,8.072933889869560,25,0,Low,1,0,0,0,0.322286081625407
2934,17,0,Other,Some College,14.348071108104200,29,0,High,0,0,0,0,0.4841831958032390
3333,16,0,Caucasian,Bachelor,5.764239368962120,15,1,High,1,0,0,0,2.179357068500430
1708,18,0,Caucasian,Some College,17.75635280671640,23,0,Moderate,1,0,0,0,1.123926327741210
1060,15,1,Other,,9.468698671880980,23,0,High,0,1,0,0,0.9290125546259370
2390,15,0,Caucasian,Bachelor,10.84066690194400,2,0,,1,0,0,0,2.5244238950940100
3198,18,0,Asian,Some College,17.472676452694000,0,0,,0,1,0,0,3.353659743298610
1208,18,0,Caucasian,Some College,11.223004248703500,25,0,Moderate,1,0,0,0,0.5672500284902900
2828,18,1,Caucasian,Some College,8.720965959451760,5,1,High,1,0,0,0,3.3627162150851100
1701,16,0,Caucasian,Some College,13.075558459123100,6,0,High,0,0,0,0,2.6901498030104500
1734,18,1,African American,Some College,9.844323665749340,19,0,Moderate,0,0,1,1,1.00411266268769
1163,18,0,Caucasian,Some College,13.084715598906400,0,1,High,0,0,1,1,3.7185869042869600
2178,18,1,Asian,Bachelor,10.968018734838200,3,1,Low,0,0,1,0,3.361230858272880
2962,15,1,Other,Higher,6.45802137155802,17,1,High,0,1,0,0,1.6698070522329400
2395,15,0,African American,High School,7.863408691285280,28,1,Moderate,1,0,0,0,0.7852135676838190
1257,17,0,Caucasian,Some College,3.8689445602387500,0,1,High,0,0,0,0,3.1565080639094500
1507,18,1,Caucasian,High School,12.298060291338700,9,1,Low,1,0,0,0,2.813786291054960
2772,17,1,Caucasian,Some College,18.61615344689520,18,0,High,0,0,0,0,1.8209201086118600
3008,17,0,Caucasian,High School,13.522835772029100,23,1,Very High,1,0,0,0,1.9648466563741700
3135,17,0,Asian,Some College,5.2973251562714300,23,1,Moderate,0,0,1,0,1.0777476837996000
1696,18,1,Caucasian,High School,0.6398892028864940,25,0,Moderate,0,1,0,0,0.7588142687845360
2507,18,0,African American,High School,3.5238881232849500,0,0,Moderate,1,0,0,0,2.905702974207420
1021,16,1,Caucasian,Bachelor,2.621597234094060,2,0,High,0,0,0,1,2.778411299920650
2895,15,1,Asian,Some College,17.73179192337890,15,0,Moderate,0,1,0,0,2.369652312774280
2382,18,1,Asian,Some College,11.874115659028700,27,0,Very High,0,1,0,0,0.731486867136845
1382,16,1,Caucasian,Higher,10.157948320067600,22,0,Low,1,0,0,0,1.0429816505882800
1539,15,1,African American,Some College,1.4475278638824500,21,0,Low,0,0,0,0,0.2700885546341740
2289,18,0,Asian,High School,19.91208403607010,8,0,High,1,0,1,1,3.214628425697650
1737,18,0,Other,Bachelor,10.74987507346470,9,0,Very High,0,0,0,1,2.6072864007904400
1084,18,0,Asian,High School,8.88959955955582,16,0,Low,0,1,0,0,1.4633780357857000
2867,16,0,Caucasian,,19.521411720638100,29,0,High,1,1,0,0,1.0784851348128100
2084,18,0,Asian,High School,15.87074804457660,22,0,High,0,0,1,0,1.1001720410942100
2898,17,1,Asian,High School,10.343007245677500,13,0,Moderate,0,0,1,1,1.9225514899197100
2944,16,0,Caucasian,,17.243059165862400,12,0,Moderate,1,0,0,0,2.0735452919667300
1271,16,1,Caucasian,Some College,11.14849489340280,15,0,High,0,0,0,0,1.6630634531990600
2969,15,1,Caucasian,High School,14.67840740575400,14,1,High,0,0,0,0,2.197394591639810
2851,17,1,Asian,Some College,11.286021293396600,16,0,Low,1,0,1,0,1.783001895562730
2903,15,0,Caucasian,High School,14.452234496689000,3,1,High,1,0,0,0,3.5617432680571100
3303,17,1,Caucasian,Some College,5.598746593838130,25,0,Very High,0,0,0,0,0.66207873669096
2540,15,0,Caucasian,High School,16.904511163214800,9,0,Moderate,1,1,0,0,2.7618237513851400
2201,15,0,African American,High School,3.4152056690077100,15,0,Moderate,1,0,0,0,1.6771008018764500
1430,18,0,Caucasian,Some College,13.405079520887200,1,0,Moderate,0,0,0,0,3.2683025478531900
2062,15,1,Caucasian,High School,15.854068115615000,6,0,Very High,1,0,1,0,3.4608846527317200
3179,17,1,African American,Higher,1.564841971600460,14,0,Low,0,1,0,0,1.795369078193630
3113,16,1,Caucasian,Bachelor,8.082196954859140,16,0,Moderate,0,0,0,0,1.4102620381944800
1459,17,1,African American,Some College,13.34702326100790,12,0,Low,1,0,0,0,1.9893957592572000
1079,17,1,Caucasian,,6.413255094728650,19,0,Low,0,0,0,0,0.9797699107752860
2627,15,0,Caucasian,,9.615723363594550,26,1,Moderate,1,0,0,0,0.5742779997538900
1033,18,0,Caucasian,Bachelor,7.663289371182520,25,0,Low,0,1,0,0,0.3846169728564880
1953,15,1,Caucasian,Some College,17.347092782307200,25,1,,1,1,0,0,1.1799034066853400
1788,18,0,African American,,9.36922474174173,6,0,Moderate,0,0,0,1,2.635341351261110
3150,17,1,African American,High School,18.846018758024100,29,1,Moderate,0,1,0,0,0.9966476630212410
1381,18,1,Asian,High School,3.7726449284815000,7,0,Moderate,1,1,0,1,2.5251155338354900
1227,15,0,Asian,High School,11.448154519355300,19,0,Moderate,0,0,0,0,0.88186635307777
2076,15,1,African American,Some College,19.5701193386538,13,0,Low,0,0,0,0,2.0966454405051300
1716,18,1,Caucasian,Some College,10.0714014880711,20,0,Very High,0,0,0,0,1.3214272070131000
2823,18,0,African American,High School,2.1584910992998800,29,1,High,1,1,1,1,0.9922965742511930
1687,16,0,Caucasian,Some College,0.1840179525075890,11,1,,1,0,0,0,1.810409480041140
3032,15,1,Asian,High School,13.739048827708800,15,0,Very High,1,1,0,0,2.413651872584270
3316,15,0,Caucasian,Bachelor,0.8679435715712170,10,1,Moderate,0,0,0,0,2.2404508383745200
1306,15,1,Caucasian,High School,2.764911312681140,7,1,Low,0,0,0,0,2.3928973584250000
1210,15,0,Caucasian,Some College,6.508365613652160,20,1,Moderate,1,0,1,1,1.6560601255004700
1858,17,0,African American,Bachelor,2.1855889073632000,7,0,High,1,0,0,0,2.186426951334850
2502,16,0,Caucasian,Some College,14.198661468684900,23,1,Low,0,0,0,0,0.8939860125136850
3372,18,1,Caucasian,Bachelor,0.6687597112219530,8,0,Moderate,0,0,0,1,1.934761727404890
1924,17,0,African American,High School,11.695136166746100,15,0,Very High,0,0,1,0,2.386799507281260
2028,17,0,Caucasian,Higher,7.545039714313910,18,1,Very High,1,0,1,0,2.434934378846440
2388,18,1,Asian,Some College,17.637096016413700,10,0,Low,1,0,1,0,2.7081110403183000
2724,16,0,Caucasian,Bachelor,18.86714597419760,21,1,Moderate,1,0,0,0,1.5812038761627700
2908,15,1,African American,High School,15.09880400316660,23,0,Moderate,0,0,0,1,0.8273394905182190
2095,16,1,Caucasian,Some College,6.849504383726080,24,0,High,1,0,1,0,0.7035731437813570
2964,16,0,African American,,12.34708501976130,1,0,,1,0,0,1,2.7103913101189000
3353,17,1,Caucasian,Bachelor,19.77751424275090,2,0,Moderate,0,1,0,1,3.4959497421090000
1484,16,1,Caucasian,Some College,12.8455632701423,20,0,Very High,0,0,1,0,1.6010784880682600
2318,18,0,Other,Some College,18.77156479172070,10,1,High,0,0,0,0,2.561964556788970
1278,16,0,Caucasian,Bachelor,12.080099954790000,28,1,High,0,0,0,0,0.6956309334599460
3306,15,0,African American,,5.8244663715655200,19,0,High,0,1,0,0,1.361434707190740
1222,17,1,Asian,,17.900677177068700,12,0,Moderate,0,1,0,1,2.288505685252230
2186,18,0,Caucasian,Bachelor,2.652079814936220,20,0,Low,0,0,0,1,1.030802658909540
1572,17,1,Other,Some College,14.832756372352400,12,0,High,0,0,0,0,2.119171492034810
1412,18,1,Other,Some College,14.613580230567800,25,0,Low,0,0,0,0,0.7771509547591910
2610,17,0,Asian,Some College,9.435126187817490,14,0,Moderate,1,0,0,0,2.131780853915060
2985,16,0,Caucasian,Bachelor,18.179617838297300,27,0,Very High,0,0,0,0,0.9709123787681460
1586,17,0,Caucasian,High School,1.7543528343992900,24,0,Moderate,0,0,0,0,0.1842514890903640
2090,16,0,African American,Bachelor,0.278980373838229,13,0,High,0,0,0,0,1.7948597502988200
1965,17,1,African American,Higher,2.405419262572140,6,1,Low,0,0,1,0,2.8066977641918300
3386,16,1,Caucasian,High School,1.44543418022703,20,0,High,1,1,0,0,1.3956306751141400
2411,18,1,Asian,Some College,17.471506115194700,20,1,High,0,0,0,0,2.020741651591240
1675,18,0,Caucasian,Higher,6.064390934371820,24,0,,1,1,0,0,0.1999273794512190
2338,16,0,African American,High School,13.760610379039600,26,0,Moderate,1,0,0,0,0.6735259456903060
1448,16,0,Caucasian,Some College,13.812454841626800,3,0,High,1,1,1,1,3.2898231421759800
1789,18,0,Caucasian,Bachelor,11.966121513920400,16,1,Low,0,0,0,0,1.5003394189345500
2011,15,1,Other,Some College,4.819925159918360,22,0,Low,0,1,1,0,0.8165506596743500
2553,17,0,Caucasian,High School,7.119367816644730,27,1,Very High,0,1,0,0,0.9620724862919860
3132,15,0,African American,High School,14.635521900753400,6,0,High,0,1,1,0,3.222140089605500
2466,16,0,African American,,8.50004828246395,29,0,Moderate,1,1,0,0,0.5522575734248650
2405,16,0,African American,High School,5.399472737109240,17,1,Low,0,0,1,0,1.7179959243485300
1791,16,0,Caucasian,Some College,5.497913165141760,21,0,Moderate,0,0,0,0,0.604613405510861
1046,18,0,Caucasian,Some College,4.894311940474020,7,0,Very High,0,0,1,0,2.515300272256250
3098,16,0,African American,High School,7.622010272236280,18,1,High,0,0,0,0,1.757497312769610
1820,15,1,African American,Some College,5.463192407398900,3,1,Very High,1,0,0,0,3.9417600224442600
1295,16,0,Caucasian,Some College,16.35808353664880,3,0,Very High,0,0,0,0,3.1012292205041300
3296,18,0,Caucasian,Some College,13.797920066267200,2,1,High,0,0,0,0,3.597766084455520
1589,18,0,Caucasian,Some College,13.188464936998300,10,0,Moderate,0,0,0,1,2.379628283206930
2869,15,0,Caucasian,High School,9.122544178932670,26,0,Low,0,1,1,0,0.6854728696794550
